electorate,electorate_irsad_seifa,electorate_irsd_seifa,electorate_ieo_seifa
Adelaide,55.78019323671498,48.96135265700483,68.26570048309179
Aston,59.88555858310627,63,58.2425068119891
Ballarat,40.515669515669515,45.857549857549856,44.52136752136752
Banks,61.62078651685393,49.8623595505618,64.3314606741573
Barker,27.12579957356077,34.682302771855014,23.62046908315565
Barton,62.2,42.078048780487805,67.7439024390244
Bass,30.039285714285715,34.125,33.375
Bean,72.59317585301837,71.93438320209974,74.42782152230971
Bendigo,38.59773371104816,43.75354107648725,44.18980169971671
Bennelong,81.95673076923077,68.4326923076923,86.21875
Berowra,88.46770025839793,86.01291989664082,84.95348837209302
Blair,30.399132321041215,35.56399132321041,28.245119305856832
Blaxland,25.761658031088082,13.898963730569948,39.28238341968912
Bonner,65.30133333333333,64.24266666666666,65.864
Boothby,60.37662337662338,61.14805194805195,68.95064935064936
Bowman,49.307277628032345,55.121293800539085,42.7088948787062
Braddon,22.03934426229508,28.455737704918032,20.459016393442624
Bradfield,91.72704081632654,83.57142857142857,93.8265306122449
Brand,35.86029411764706,41.330882352941174,27.620098039215687
Brisbane,82.69138755980862,75.09569377990431,87.88277511961722
Bruce,38.357314148681056,37.13189448441247,41.249400479616305
Burt,32.2005076142132,35.15228426395939,27.901015228426395
Calare,37.87556561085973,43.671945701357465,34.42760180995475
Calwell,30.05839416058394,25.982968369829685,34.763990267639905
Canberra,86.98795180722891,80.74698795180723,91.83734939759036
Canning,36.305475504322764,42.01729106628242,25.89913544668588
Capricornia,32.4080604534005,40.62468513853904,23.811083123425693
Casey,55.231920199501246,63.66583541147132,51.8428927680798
Chifley,34.7351598173516,31.404109589041095,32.705479452054796
Chisholm,74.66906474820144,63.697841726618705,80.20383693045564
Clark,48.542635658914726,46.58527131782946,55.94961240310077
Cook,77.09912536443149,72.84548104956268,71.6064139941691
Cooper,64.18018018018019,53.666666666666664,73.57057057057057
Corangamite,57.330275229357795,65.46483180428135,57.067278287461775
Corio,43.29708222811671,45.88859416445624,45.281167108753316
Cowan,37.148514851485146,37.136138613861384,36.59158415841584
Cowper,29.99078341013825,34.064516129032256,32.145161290322584
Cunningham,57.05540897097625,54.968337730870715,59.266490765171504
Curtin,85.2396694214876,81.0633608815427,89.22589531680441
Dawson,35.27536231884058,43.429951690821255,27.379227053140095
Deakin,64.85826771653544,64.07349081364829,68.36220472440945
Dickson,57.685483870967744,64.71236559139786,53.494623655913976
Dobell,38.997319034852545,42.67292225201072,34.42359249329759
Dunkley,48.19327731092437,52.747899159663866,48.675070028011206
Durack,35.24309392265194,39.353591160220994,27.90791896869245
Eden-Monaro,51.4634703196347,57.221461187214615,49.038812785388124
Fadden,46.79097387173397,48.482185273159146,44.073634204275535
Fairfax,50.344632768361585,55.387005649717516,49.05367231638418
Farrer,33.536842105263155,39.98947368421052,30.91578947368421
Fenner,74.32754342431762,71.55583126550869,78.02977667493796
Fisher,48.023809523809526,52.097883597883595,45.992063492063494
Flinders,50.71554252199414,57.52785923753666,50.530791788856305
Flynn,26.743467933491686,33.20665083135392,19.541567695961994
Forde,36.379232505643344,40.941309255079005,30.48758465011287
Forrest,38.317460317460316,46.19047619047619,30.761904761904763
Fowler,20.44297082228117,12.883289124668435,28.750663129973475
Franklin,46.744360902255636,52.69172932330827,50.462406015037594
Fraser,38.06377551020408,29.533163265306122,47.089285714285715
Fremantle,58.77777777777778,59.01994301994302,58.3019943019943
Gellibrand,63.47727272727273,58.542929292929294,65.83333333333333
Gilmore,40.03058823529412,47.09647058823529,38.4964705882353
Gippsland,28.77002583979328,35.60723514211886,28.041343669250647
Goldstein,87.77363896848138,82.20343839541547,89.2865329512894
Gorton,43.029126213592235,42.10679611650485,41.64563106796116
Grayndler,87.19263456090651,71.31161473087819,91.11898016997168
Greenway,67.22535211267606,61.92018779342723,63.124413145539904
Grey,24.20242914979757,30.410931174089068,22.402834008097166
Griffith,80.02051282051282,72.58205128205128,85.84102564102564
Groom,38.353960396039604,43.742574257425744,38.853960396039604
Hasluck,49.59506172839506,54.809876543209874,41.666666666666664
Hawke,36.501312335958005,41.30183727034121,32.47244094488189
Herbert,35.760975609756095,40.853658536585364,36.54390243902439
Higgins,89.07397260273973,83.11506849315069,92.34520547945205
Hindmarsh,45.1968085106383,47.51063829787234,47.420212765957444
Hinkler,19.129834254143645,23.593922651933703,18.37292817679558
Holt,38.07960199004975,38.71393034825871,36.23134328358209
Hotham,44.68028846153846,36.76442307692308,51.11778846153846
Hughes,77.35964912280701,77.9298245614035,69.23391812865498
Hume,51.238425925925924,55.9537037037037,39.66898148148148
Hunter,32.65277777777778,39.155092592592595,24.28472222222222
Indi,38.53731343283582,46.25124378109453,40.3134328358209
Isaacs,66.25484764542936,63.89750692520776,66.42382271468144
Jagajaga,74.01052631578948,74.73684210526316,76.16052631578947
Kennedy,26.9895178197065,33.117400419287215,22.754716981132077
Kingsford S,78.41888619854721,66.11864406779661,78.48668280871671
Kingston,36.04935064935065,46.09090909090909,33.95324675324675
Kooyong,90.29319371727749,83.54973821989529,93.20157068062828
La Trobe,52.93814432989691,58.53865979381443,48.595360824742265
Lalor,42.97849462365591,41.806451612903224,44.57419354838709
Leichhardt,36.55131264916468,39.22673031026253,40.066825775656326
Lilley,61.62125340599455,61.479564032697546,64.68937329700273
Lindsay,43.508274231678485,45.118203309692674,34.361702127659576
Lingiari,33.557993730407524,34.11912225705329,34.5705329153605
Longman,30.637889688249402,37.11270983213429,24.100719424460433
Lyne,28.594202898550726,34.768115942028984,26.417874396135264
Lyons,24.105263157894736,31.05921052631579,21.957236842105264
Macarthur,44.50102249488753,41.44989775051125,38.31083844580777
Mackellar,85.04709141274238,80.8781163434903,78.78670360110803
Macnamara,85.5240506329114,75.13924050632912,91.96455696202531
Macquarie,57.740437158469945,60.40710382513661,56.17213114754098
Makin,36.660714285714285,43.16581632653061,35.880102040816325
Mallee,27.691176470588236,32.66386554621849,29.218487394957982
Maranoa,27.289532293986635,32.329621380846326,25.643652561247215
Maribyrnong,66.42120343839541,62.289398280802295,67.46991404011462
Mayo,49.97867298578199,58.822274881516584,50.492890995260666
McEwen,58.97527472527472,65.34615384615384,54.27197802197802
McMahon,31.602122015915118,25.46949602122016,33.11936339522546
McPherson,57.249315068493154,58.43013698630137,56.56712328767123
Melbourne,80.30909090909091,63.41818181818182,89.99772727272727
Menzies,75.085,67.7325,77.0925
Mitchell,89.48536585365854,84.93170731707318,83.90975609756097
Monash,35.64912280701754,43.39181286549707,36.27485380116959
Moncrieff,51.16543209876543,49.14567901234568,53.57037037037037
Moore,71.87765957446808,77.42287234042553,65.03989361702128
Moreton,61.12266666666667,54.269333333333336,69.07733333333333
New England,31.577197149643705,36.173396674584325,33.02375296912114
Newcastle,55.30193905817175,53.53739612188366,59.8393351800554
Nicholls,29.300970873786408,34.8373786407767,29.264563106796118
North Sydney,94.22597402597403,84.46493506493506,96.1922077922078
O'Connor,34.65139442231076,40.86852589641434,30.884462151394423
Oxley,43.64975845410628,44.707729468599034,44.80434782608695
Page,28.55603448275862,33.543103448275865,29.592672413793103
Parkes,31.696969696969695,36.02597402597402,30.96969696969697
Parramatta,56.19679633867277,41.12585812356979,68.29519450800915
Paterson,32.04066985645933,38.322966507177036,25.22488038277512
Pearce,48.422976501305484,52.93733681462141,40.715404699738905
Perth,66.96134020618557,60.881443298969074,74.26030927835052
Petrie,42.95161290322581,46.1520737327189,42.44930875576037
Rankin,31.9,32.739024390243905,31.617073170731707
Reid,78.79816513761467,60.5,83.35550458715596
Richmond,45.28125,46.82451923076923,46.51682692307692
Riverina,33.86199095022624,39.21493212669683,33.3710407239819
Robertson,53.39660056657224,54.711048158640224,53.13031161473088
Ryan,82.62972972972973,79.81891891891892,87.76486486486486
Scullin,36.81233933161954,35.64781491002571,39.390745501285345
Shortland,43.34261838440111,49.220055710306404,38.8857938718663
Solomon,57.0199203187251,55.31872509960159,56.191235059760956
Spence,17.232394366197184,20.715962441314552,15.37793427230047
Sturt,63.72029702970297,62.40594059405941,71.32920792079207
Swan,54.90602409638554,52.04819277108434,58.89156626506024
Sydney,86.36622807017544,64.72368421052632,91.51535087719299
Tangney,72.18952618453865,71.7206982543641,71.3216957605985
Wannon,36.311627906976746,43.21860465116279,37.12325581395349
Warringah,93.633431085044,87.62463343108504,91.94721407624634
Watson,40.06297229219144,24.97229219143577,53.060453400503775
Wentworth,96.65689149560117,87.65982404692082,96.85043988269794
Werriwa,40.05980861244019,30.4377990430622,39.844497607655505
Whitlam,41.171990171990174,45.52579852579853,33.82063882063882
Wide Bay,29.498687664041995,34.75328083989501,28.325459317585302
Wills,65.24362606232295,55.56940509915014,73.44759206798867
Wright,41.002242152466366,47.210762331838566,33.21300448430493
